"Rechnungjahr","Steuereinnahmen","Leibrenten","verkäufliche Renten"
"1424/25",NA,2598.4,12913.6
"1425/26",NA,8517.6,18648
"1426/27",NA,3997.89,4401.54
"1427/28",NA,7565.85,5945.5
"1428/29",NA,4839.52,8050.4
"1429/30",4629,3016,7504.04
"1430/31",NA,1034.72,5187.52
"1431/32",NA,896.8,4219.68
"1432/33",NA,489.6,6519.6
"1433/34",NA,632.5,2533.45
"1434/35",NA,119.6,16058.6
"1435/36",NA,0,276
"1436/37",NA,644,0
"1437/38",NA,3040.6,575
"1438/39",NA,0,2415
"1439/40",NA,0,3622.5
"1440/41",NA,0,1035
"1441/42",NA,0,1265
"1442/43",NA,0,2484
"1443/44",NA,0,14283
"1444/45",NA,0,4036.5
"1445-1447",3323,4725.35,22448
"1447/48",115,920,3864
"1448/49",NA,5515.4,43911.6
"1449/50",NA,276,6443.45
"1450/51",NA,1899.8,21974.2
"1451/52",11877,770.5,1702
"1452/53",2789,468.05,16068.95
"1453/54",4431,1184.5,21092.15
"1454/55",4354,126.5,11673.65
"1455/56",4259,576.15,4695.45
"1456/57",3300,149.5,2252.85
"1457/58",3157,115,632.5
"1458/59",2581,230,1035
"1459/60",2352,0,2070
"1460/61",2153,0,6497.5
"1461/62",914,1000.5,10005
"1462/63",90,345,3680
"1463/64",40,0,9338
"1464/65",95,897,1269.6
"1465/66",34,115,4646
"1466/67",NA,460,5129
"1467/68",NA,1564,2778.4
"1468/69",NA,1564,5318.75
"1469/70",NA,1219,5290
"1470/71",5004,2323,6419.3
"1471/72",4385,3904.25,7101.25
"1472/73",523,1006.25,5025.5
"1473/74",NA,772.8,37853.4
"1474/75",NA,236,10832.4
"1475/76",5306,236,22278.4
"1476/77",6866,531,16066.88
"1477/78",6714,0,6316.54
"1478/79",5373,743.4,2659.72
"1479/80",5378,0,2430.8
"1480/81",4166,649,6283.5
"1481/82",2956,0,1180
"1482/83",1971,0,5900
"1483/84",1872,0,7752.6
"1484/85",1834,118,5961.36
